时间,花费时间,实际圈数,实际扭力,螺丝结果
2017_10_28_16_11_19_580,0.311s,0.2圈,59.7mN*m,第242个OK
2017_10_28_16_11_30_668,1.182s,7.5圈,31mN*m,第243个NG
2017_10_28_16_11_37_54,0.282s,0.1圈,59.5mN*m,第244个OK
2017_10_28_16_11_43_101,0.246s,0圈,59.5mN*m,第245个OK
2017_10_28_16_12_0_355,0.28s,0圈,59.5mN*m,第246个OK
2017_10_28_16_12_9_580,0.251s,0圈,59.5mN*m,第247个OK
2017_10_28_16_12_17_237,0.3s,0.3圈,59.7mN*m,第248个OK
2017_10_28_16_12_26_909,0.287s,0圈,59.5mN*m,第249个OK
2017_10_28_16_12_32_725,0.285s,0.1圈,59.7mN*m,第250个OK
2017_10_28_16_12_42_546,0.336s,0.6圈,59.5mN*m,第251个OK
2017_10_28_16_12_48_432,0.3s,0.2圈,59.5mN*m,第252个OK
2017_10_28_16_12_55_836,0.343s,0.3圈,59.5mN*m,第253个OK
2017_10_28_16_13_2_310,0.256s,0圈,59.5mN*m,第254个OK
2017_10_28_16_13_11_643,0.311s,0圈,59.5mN*m,第255个OK
2017_10_28_16_13_17_777,0.335s,0.5圈,59.7mN*m,第256个OK
2017_10_28_16_13_28_703,0.435s,0.9圈,59.5mN*m,第257个OK
2017_10_28_16_13_36_823,0.358s,0.7圈,59.5mN*m,第258个OK
2017_10_28_16_13_44_781,0.289s,0圈,59.5mN*m,第259个OK
2017_10_28_16_13_54_450,0.376s,0.8圈,59.7mN*m,第260个OK
2017_10_28_16_14_5_527,0.288s,0圈,59.5mN*m,第261个OK
2017_10_28_16_14_15_107,0.242s,0圈,59.5mN*m,第262个OK
2017_10_28_16_14_21_339,0.289s,0圈,59.5mN*m,第263个OK
2017_10_28_16_14_27_245,0.36s,0.6圈,59.5mN*m,第264个OK
2017_10_28_16_14_33_379,0.317s,0.4圈,59.5mN*m,第265个OK
2017_10_28_16_14_45_900,0.345s,0圈,59.5mN*m,第266个OK
2017_10_28_16_14_56_411,0.303s,0.3圈,59.5mN*m,第267个OK
2017_10_28_16_15_5_237,0.302s,0.4圈,59.5mN*m,第268个OK
2017_10_28_16_15_13_125,0.297s,0.2圈,59.5mN*m,第269个OK
2017_10_28_16_15_19_430,0.315s,0.3圈,59.5mN*m,第270个OK
2017_10_28_16_15_25_219,0.287s,0.2圈,59.5mN*m,第271个OK
2017_10_28_16_15_31_441,0.301s,0.2圈,59.5mN*m,第272个OK
2017_10_28_16_15_40_699,0.419s,0.9圈,59.5mN*m,第273个OK
2017_10_28_16_15_52_208,0.25s,0圈,59.5mN*m,第274个OK
2017_10_28_16_15_58_208,0.283s,0.1圈,59.5mN*m,第275个OK
2017_10_28_16_16_3_611,0.283s,0.1圈,59.5mN*m,第276个OK
2017_10_28_16_16_9_801,0.305s,0.2圈,59.5mN*m,第277个OK
2017_10_28_16_16_16_112,0.35s,0.6圈,59.5mN*m,第278个OK
2017_10_28_16_16_22_284,0.406s,1.1圈,59.5mN*m,第279个OK
2017_10_28_16_16_31_869,0.373s,0.8圈,59.5mN*m,第280个OK
2017_10_28_16_16_47_151,0.289s,0圈,59.5mN*m,第281个OK
2017_10_28_16_16_57_500,0.299s,0.3圈,59.5mN*m,第282个OK
2017_10_28_16_17_8_257,0.395s,0.8圈,59.5mN*m,第283个OK
2017_10_28_16_17_18_340,0.296s,0.3圈,59.7mN*m,第284个OK
2017_10_28_16_17_34_220,0.313s,0.2圈,59.5mN*m,第285个OK
2017_10_28_16_17_53_134,0.369s,0.2圈,59.5mN*m,第286个OK
2017_10_28_16_18_6_625,0.291s,0.2圈,59.5mN*m,第287个OK
2017_10_28_16_18_16_96,0.359s,0.5圈,59.5mN*m,第288个OK
2017_10_28_16_18_22_401,0.336s,0.4圈,59.5mN*m,第289个OK
2017_10_28_16_18_35_987,0.347s,0.5圈,59.5mN*m,第290个OK
2017_10_28_16_18_42_204,0.374s,0.8圈,59.5mN*m,第291个OK
2017_10_28_16_18_48_679,0.465s,1.3圈,59.5mN*m,第292个OK
2017_10_28_16_18_54_482,0.446s,1.1圈,59.7mN*m,第293个OK
2017_10_28_16_19_0_644,0.402s,0.9圈,59.5mN*m,第294个OK
2017_10_28_16_19_11_5,0.313s,0圈,59.5mN*m,第295个OK
2017_10_28_16_19_22_321,1.153s,7.5圈,12.2mN*m,第296个NG
2017_10_28_16_19_31_834,0.305s,0圈,59.5mN*m,第297个OK
2017_10_28_16_19_37_664,0.299s,0.3圈,59.5mN*m,第298个OK
2017_10_28_16_19_48_477,0.297s,0圈,59.7mN*m,第299个OK
2017_10_28_16_19_56_36,0.289s,0.2圈,59.5mN*m,第300个OK
2017_10_28_16_21_22_500,0.273s,0.1圈,59.5mN*m,第301个OK
2017_10_28_16_21_30_824,0.279s,0.1圈,59.5mN*m,第302个OK
2017_10_28_16_21_38_245,0.298s,0.2圈,59.5mN*m,第303个OK
2017_10_28_16_22_6_670,0.304s,0圈,59.5mN*m,第304个OK
2017_10_28_16_22_23_85,0.296s,0圈,59.5mN*m,第305个OK
2017_10_28_16_22_55_879,0.287s,0.2圈,59.5mN*m,第306个OK
2017_10_28_16_23_2_12,0.291s,0.2圈,59.5mN*m,第307个OK
2017_10_28_16_23_7_980,0.297s,0.2圈,59.5mN*m,第308个OK
2017_10_28_16_23_15_40,0.321s,0.4圈,59.5mN*m,第309个OK
2017_10_28_16_23_20_960,0.3s,0.2圈,59.7mN*m,第310个OK
2017_10_28_16_23_32_72,0.377s,0.7圈,59.5mN*m,第311个OK
2017_10_28_16_23_38_328,0.254s,0圈,59.5mN*m,第312个OK
2017_10_28_16_23_43_903,0.303s,0.3圈,59.5mN*m,第313个OK
2017_10_28_16_23_50_206,0.353s,0.5圈,59.5mN*m,第314个OK
2017_10_28_16_23_56_977,0.371s,0.8圈,59.5mN*m,第315个OK
2017_10_28_16_24_4_448,0.243s,0圈,59.5mN*m,第316个OK
2017_10_28_16_24_10_245,0.279s,0.1圈,59.5mN*m,第317个OK
2017_10_28_16_24_16_574,0.342s,0.5圈,59.5mN*m,第318个OK
2017_10_28_16_24_22_622,0.36s,0.7圈,59.5mN*m,第319个OK
2017_10_28_16_24_28_770,0.353s,0.6圈,59.5mN*m,第320个OK
2017_10_28_16_24_36_754,0.331s,0.5圈,59.5mN*m,第321个OK
2017_10_28_16_24_54_139,0.305s,0.4圈,59.5mN*m,第322个OK
2017_10_28_16_25_22_134,0.28s,0.1圈,59.7mN*m,第323个OK
2017_10_28_16_25_30_556,0.306s,0.2圈,59.5mN*m,第324个OK
2017_10_28_16_25_36_509,0.289s,0.2圈,59.5mN*m,第325个OK
2017_10_28_16_25_42_724,0.319s,0.4圈,59.5mN*m,第326个OK
2017_10_28_16_25_49_75,0.243s,0圈,59.5mN*m,第327个OK
2017_10_28_16_25_58_703,0.354s,0.4圈,59.7mN*m,第328个OK
2017_10_28_16_26_7_711,0.316s,0.4圈,59.5mN*m,第329个OK
2017_10_28_16_26_14_43,0.245s,0圈,59.5mN*m,第330个OK
2017_10_28_16_26_20_324,0.241s,0圈,59.7mN*m,第331个OK
2017_10_28_16_26_26_386,0.295s,0.1圈,59.5mN*m,第332个OK
2017_10_28_16_26_32_441,0.379s,0.8圈,59.7mN*m,第333个OK
2017_10_28_16_26_47_88,0.32s,0.1圈,59.5mN*m,第334个OK
2017_10_28_16_27_13_58,0.413s,1.1圈,59.7mN*m,第335个OK
2017_10_28_16_27_25_420,0.292s,0.2圈,59.5mN*m,第336个OK
2017_10_28_16_27_42_74,0.391s,0.7圈,59.7mN*m,第337个OK
2017_10_28_16_27_49_562,0.374s,0.7圈,59.5mN*m,第338个OK
2017_10_28_16_28_3_680,0.348s,0.6圈,59.5mN*m,第339个OK
2017_10_28_16_28_15_632,0.358s,0.6圈,59.7mN*m,第340个OK
2017_10_28_16_28_24_991,0.292s,0.1圈,59.5mN*m,第341个OK
2017_10_28_16_28_30_618,0.304s,0.3圈,59.5mN*m,第342个OK
2017_10_28_16_28_36_743,0.333s,0.5圈,59.5mN*m,第343个OK
2017_10_28_16_28_44_37,0.309s,0.4圈,59.5mN*m,第344个OK
2017_10_28_16_28_51_345,0.274s,0.1圈,59.5mN*m,第345个OK
2017_10_28_16_29_2_45,0.329s,0.4圈,59.5mN*m,第346个OK
2017_10_28_16_29_12_43,0.364s,0.5圈,59.5mN*m,第347个OK
2017_10_28_16_29_18_342,0.302s,0.3圈,59.5mN*m,第348个OK
2017_10_28_16_29_28_148,0.331s,0.5圈,59.5mN*m,第349个OK
2017_10_28_16_29_34_370,0.279s,0.1圈,59.5mN*m,第350个OK
2017_10_28_16_29_45_32,0.41s,0.4圈,59.7mN*m,第351个OK
2017_10_28_16_29_53_606,0.339s,0.5圈,59.5mN*m,第352个OK
2017_10_28_16_30_11_779,0.301s,0.3圈,59.5mN*m,第353个OK
2017_10_28_16_30_26_700,0.318s,0.4圈,59.5mN*m,第354个OK
2017_10_28_16_30_34_905,0.279s,0.2圈,59.5mN*m,第355个OK
2017_10_28_16_30_46_274,0.368s,0.7圈,59.5mN*m,第356个OK
2017_10_28_16_30_52_416,0.318s,0.4圈,59.5mN*m,第357个OK
2017_10_28_16_31_2_355,0.337s,0.5圈,59.5mN*m,第358个OK
2017_10_28_16_31_15_483,0.285s,0圈,59.5mN*m,第359个OK
2017_10_28_16_31_27_498,0.3s,0.1圈,59.5mN*m,第360个OK
2017_10_28_16_31_37_672,0.287s,0.1圈,59.5mN*m,第361个OK
2017_10_28_16_31_49_109,0.331s,0.5圈,59.5mN*m,第362个OK
2017_10_28_16_31_57_782,0.333s,0.5圈,59.5mN*m,第363个OK
2017_10_28_16_32_3_672,0.37s,0.8圈,59.5mN*m,第364个OK
2017_10_28_16_32_13_926,0.372s,0.7圈,59.5mN*m,第365个OK
2017_10_28_16_32_21_330,0.321s,0.5圈,59.5mN*m,第366个OK
2017_10_28_16_32_33_18,0.298s,0圈,59.5mN*m,第367个OK
2017_10_28_16_32_39_28,0.302s,0.2圈,59.5mN*m,第368个OK
2017_10_28_16_32_48_326,1.153s,7.5圈,9.9mN*m,第369个NG
2017_10_28_16_32_53_727,0.278s,0圈,59.5mN*m,第370个OK
2017_10_28_16_32_59_973,0.281s,0.2圈,59.7mN*m,第371个OK
2017_10_28_16_33_15_264,0.312s,0.4圈,59.5mN*m,第372个OK
2017_10_28_16_33_33_841,0.291s,0.2圈,59.5mN*m,第373个OK
2017_10_28_16_33_46_271,0.304s,0.3圈,59.5mN*m,第374个OK
2017_10_28_16_33_54_480,0.331s,0.2圈,59.5mN*m,第375个OK
2017_10_28_16_33_58_698,0.362s,0.6圈,59.5mN*m,第376个OK
2017_10_28_16_34_9_816,0.342s,0.6圈,59.5mN*m,第377个OK
2017_10_28_16_34_16_44,0.335s,0.5圈,59.5mN*m,第378个OK
2017_10_28_16_34_28_848,0.329s,0.4圈,59.5mN*m,第379个OK
2017_10_28_16_34_35_243,0.307s,0.3圈,59.5mN*m,第380个OK
2017_10_28_16_34_41_217,0.267s,0圈,59.7mN*m,第381个OK
2017_10_28_16_34_49_979,0.318s,0.4圈,59.5mN*m,第382个OK
2017_10_28_16_34_55_527,0.343s,0.5圈,59.5mN*m,第383个OK
2017_10_28_16_35_1_466,0.303s,0.3圈,59.5mN*m,第384个OK
2017_10_28_16_35_9_215,0.238s,0圈,59.5mN*m,第385个OK
2017_10_28_16_35_15_281,0.295s,0.2圈,59.7mN*m,第386个OK
2017_10_28_16_35_21_212,0.277s,0.1圈,59.7mN*m,第387个OK
2017_10_28_16_35_27_679,0.247s,0圈,59.5mN*m,第388个OK
2017_10_28_16_35_36_897,0.29s,0圈,59.5mN*m,第389个OK
2017_10_28_16_35_42_627,0.276s,0.1圈,59.5mN*m,第390个OK
2017_10_28_16_35_49_159,0.439s,1圈,59.5mN*m,第391个OK
2017_10_28_16_35_59_417,0.287s,0圈,59.7mN*m,第392个OK
2017_10_28_16_36_11_435,0.244s,0圈,59.5mN*m,第393个OK
2017_10_28_16_36_37_139,0.294s,0.2圈,59.5mN*m,第394个OK
2017_10_28_16_36_43_653,0.289s,0.3圈,59.5mN*m,第395个OK
2017_10_28_16_36_49_777,0.293s,0圈,59.5mN*m,第396个OK
2017_10_28_16_36_58_942,0.302s,0.3圈,59.7mN*m,第397个OK
2017_10_28_16_37_7_593,0.319s,0.3圈,59.5mN*m,第398个OK
2017_10_28_16_37_13_725,0.27s,0.1圈,59.5mN*m,第399个OK
2017_10_28_16_37_21_801,0.371s,0.7圈,59.5mN*m,第400个OK
2017_10_28_16_55_46_46,1.152s,7.5圈,6.7mN*m,第401个NG
2017_10_28_16_55_54_44,0.312s,0圈,59.5mN*m,第402个OK
2017_10_28_16_56_2_275,0.341s,0圈,59.5mN*m,第403个OK
2017_10_28_16_56_10_772,0.298s,0圈,59.5mN*m,第404个OK
2017_10_28_16_56_17_161,0.32s,0.4圈,59.5mN*m,第405个OK
2017_10_28_16_56_25_408,0.325s,0圈,59.5mN*m,第406个OK
2017_10_28_16_56_31_600,0.406s,0.7圈,59.5mN*m,第407个OK
2017_10_28_16_56_37_582,0.404s,1圈,59.5mN*m,第408个OK
2017_10_28_16_56_43_895,0.376s,0.7圈,59.5mN*m,第409个OK
2017_10_28_16_56_50_368,0.417s,0.6圈,59.5mN*m,第410个OK
2017_10_28_16_56_56_339,0.259s,0圈,59.5mN*m,第411个OK
2017_10_28_16_57_2_304,0.346s,0.5圈,59.5mN*m,第412个OK
2017_10_28_16_57_8_698,0.334s,0.5圈,59.5mN*m,第413个OK
2017_10_28_16_57_16_780,0.322s,0圈,59.5mN*m,第414个OK
2017_10_28_16_57_23_241,0.334s,0.5圈,59.5mN*m,第415个OK
2017_10_28_16_57_29_715,0.34s,0.4圈,59.7mN*m,第416个OK
2017_10_28_16_57_35_681,0.28s,0圈,59.5mN*m,第417个OK
2017_10_28_16_57_46_349,0.385s,0.8圈,59.5mN*m,第418个OK
2017_10_28_16_57_52_405,0.293s,0圈,59.5mN*m,第419个OK
2017_10_28_16_58_0_486,0.284s,0圈,59.5mN*m,第420个OK
2017_10_28_16_58_6_857,0.326s,0圈,59.5mN*m,第421个OK
2017_10_28_16_58_13_81,0.305s,0.3圈,59.7mN*m,第422个OK
2017_10_28_16_58_19_373,0.332s,0.5圈,59.5mN*m,第423个OK
2017_10_28_16_58_25_673,0.396s,0.8圈,59.5mN*m,第424个OK
2017_10_28_16_58_34_612,0.382s,0圈,59.5mN*m,第425个OK
2017_10_28_16_58_40_384,0.342s,0.6圈,59.5mN*m,第426个OK
2017_10_28_16_58_46_665,0.315s,0.4圈,59.5mN*m,第427个OK
2017_10_28_16_58_52_869,0.324s,0.4圈,59.5mN*m,第428个OK
2017_10_28_16_58_58_194,0.255s,0圈,59.5mN*m,第429个OK
2017_10_28_16_59_4_362,0.386s,0.8圈,59.7mN*m,第430个OK
2017_10_28_16_59_10_35,0.54s,0.1圈,59.5mN*m,第431个OK
2017_10_28_16_59_16_25,0.333s,0.3圈,59.5mN*m,第432个OK
2017_10_28_16_59_22_388,0.328s,0.3圈,59.5mN*m,第433个OK
2017_10_28_16_59_28_366,0.371s,0圈,59.5mN*m,第434个OK
2017_10_28_16_59_34_675,0.328s,0.3圈,59.5mN*m,第435个OK
2017_10_28_16_59_41_232,0.283s,0圈,59.5mN*m,第436个OK
2017_10_28_16_59_47_62,0.388s,0.9圈,59.5mN*m,第437个OK
2017_10_28_16_59_53_203,0.341s,0.5圈,59.5mN*m,第438个OK
2017_10_28_16_59_59_416,0.356s,0.5圈,59.7mN*m,第439个OK
2017_10_28_17_0_4_757,0.307s,0.4圈,59.5mN*m,第440个OK
2017_10_28_17_0_11_216,0.318s,0.4圈,59.5mN*m,第441个OK
2017_10_28_17_0_19_453,0.244s,0圈,59.5mN*m,第442个OK
2017_10_28_17_0_25_238,0.333s,0.4圈,59.5mN*m,第443个OK
2017_10_28_17_0_35_688,0.322s,0.1圈,59.7mN*m,第444个OK
2017_10_28_17_0_42_347,0.283s,0圈,59.5mN*m,第445个OK
2017_10_28_17_0_48_377,0.44s,1.2圈,59.5mN*m,第446个OK
2017_10_28_17_0_54_578,0.287s,0.2圈,59.5mN*m,第447个OK
2017_10_28_17_1_6_500,0.317s,0.3圈,59.7mN*m,第448个OK
2017_10_28_17_1_12_878,0.352s,0.3圈,59.7mN*m,第449个OK
2017_10_28_17_1_19_641,0.307s,0.2圈,59.5mN*m,第450个OK
2017_10_28_17_1_25_43,0.364s,0.6圈,59.7mN*m,第451个OK
2017_10_28_17_1_31_204,0.302s,0.1圈,59.7mN*m,第452个OK
2017_10_28_17_1_37_876,0.311s,0.3圈,59.5mN*m,第453个OK
2017_10_28_17_1_42_262,0.346s,0.6圈,59.7mN*m,第454个OK
2017_10_28_17_1_47_891,0.301s,0.2圈,59.5mN*m,第455个OK
2017_10_28_17_1_53_775,0.289s,0圈,59.7mN*m,第456个OK
2017_10_28_17_2_0_110,0.403s,1圈,59.5mN*m,第457个OK
2017_10_28_17_2_6_400,0.331s,0.5圈,59.5mN*m,第458个OK
2017_10_28_17_2_12_171,0.289s,0.1圈,59.5mN*m,第459个OK
2017_10_28_17_2_18_390,0.313s,0.3圈,59.5mN*m,第460个OK
2017_10_28_17_2_24_612,0.29s,0.2圈,59.5mN*m,第461个OK
2017_10_28_17_2_30_833,0.358s,0.7圈,59.5mN*m,第462个OK
2017_10_28_17_2_37_300,0.305s,0.2圈,59.5mN*m,第463个OK
2017_10_28_17_2_43_349,0.308s,0.4圈,59.5mN*m,第464个OK
2017_10_28_17_2_48_897,0.282s,0.1圈,59.5mN*m,第465个OK
2017_10_28_17_2_55_369,0.277s,0.2圈,59.5mN*m,第466个OK
2017_10_28_17_3_2_693,0.29s,0.3圈,59.5mN*m,第467个OK
2017_10_28_17_3_16_972,0.404s,1圈,59.5mN*m,第468个OK
2017_10_28_17_3_25_586,0.378s,0.7圈,59.5mN*m,第469个OK
2017_10_28_17_3_33_307,0.286s,0.1圈,59.5mN*m,第470个OK
2017_10_28_17_3_41_806,0.379s,0.8圈,59.7mN*m,第471个OK
2017_10_28_17_3_51_163,0.294s,0圈,59.5mN*m,第472个OK
2017_10_28_17_3_57_170,0.267s,0圈,59.5mN*m,第473个OK
2017_10_28_17_4_5_321,0.405s,0.8圈,59.5mN*m,第474个OK
2017_10_28_17_4_11_179,0.329s,0.3圈,59.5mN*m,第475个OK
2017_10_28_17_4_17_216,0.305s,0.2圈,59.5mN*m,第476个OK
2017_10_28_17_4_23_99,0.276s,0圈,59.7mN*m,第477个OK
2017_10_28_17_4_30_878,0.238s,0圈,59.5mN*m,第478个OK
2017_10_28_17_4_38_394,0.376s,0.8圈,59.5mN*m,第479个OK
2017_10_28_17_4_44_682,0.488s,1.2圈,59.7mN*m,第480个OK
