时间,节拍时间
2017_10_28_16_30_6_70,节拍时间：END:17.319
2017_10_28_16_30_21_468,节拍时间：END:15.276
2017_10_28_16_30_29_932,节拍时间：END:8.396
2017_10_28_16_30_41_79,节拍时间：END:11.059
2017_10_28_16_30_47_417,节拍时间：END:6.288
2017_10_28_16_30_57_59,节拍时间：END:9.565
2017_10_28_16_31_8_392,节拍时间：END:11.242
2017_10_28_16_31_22_356,节拍时间：END:13.853
2017_10_28_16_31_32_618,节拍时间：END:10.176
2017_10_28_16_31_44_120,节拍时间：END:11.413
2017_10_28_16_31_52_643,节拍时间：END:8.455
2017_10_28_16_31_58_759,节拍时间：END:6.065
2017_10_28_16_32_8_629,节拍时间：END:9.791
2017_10_28_16_32_16_233,节拍时间：END:7.541
2017_10_28_16_32_26_114,节拍时间：END:9.804
2017_10_28_16_32_34_200,节拍时间：END:8.018
2017_10_28_16_32_41_490,节拍时间：END:7.234
2017_10_28_16_32_48_957,节拍时间：END:7.404
2017_10_28_16_32_54_912,节拍时间：END:5.910
2017_10_28_16_33_10_434,节拍时间：END:15.395
2017_10_28_16_33_29_11,节拍时间：END:18.433
2017_10_28_16_33_41_341,节拍时间：END:12.233
2017_10_28_16_33_47_390,节拍时间：END:5.997
2017_10_28_16_33_54_487,节拍时间：END:6.184
2017_10_28_16_34_4_731,节拍时间：END:11.019
2017_10_28_16_34_10_898,节拍时间：END:6.117
2017_10_28_16_34_23_545,节拍时间：END:12.544
2017_10_28_16_34_29_846,节拍时间：END:6.252
2017_10_28_16_34_36_274,节拍时间：END:6.375
2017_10_28_16_34_44_772,节拍时间：END:8.433
2017_10_28_16_34_51_112,节拍时间：END:6.285
2017_10_28_16_34_56_599,节拍时间：END:5.447
2017_10_28_16_35_4_5,节拍时间：END:7.349
2017_10_28_16_35_10_127,节拍时间：END:6.074
2017_10_28_16_35_16_251,节拍时间：END:6.075
2017_10_28_16_35_22_398,节拍时间：END:6.098
2017_10_28_16_35_28_803,节拍时间：END:6.352
2017_10_28_16_35_38_422,节拍时间：END:8.161
2017_10_28_16_35_43_781,节拍时间：END:6.232
2017_10_28_16_35_54_694,节拍时间：END:10.429
2017_10_28_16_36_6_796,节拍时间：END:12.045
2017_10_28_16_36_32_120,节拍时间：END:25.945
2017_10_28_16_36_38_348,节拍时间：END:6.178
2017_10_28_16_36_44_798,节拍时间：END:6.398
2017_10_28_16_36_54_13,节拍时间：END:9.140
2017_10_28_16_37_2_491,节拍时间：END:8.407
2017_10_28_16_37_8_740,节拍时间：END:6.202
2017_10_28_16_37_16_626,节拍时间：END:7.824
2017_10_28_16_55_46_701,节拍时间：END:9.026
2017_10_28_16_55_55_151,节拍时间：END:8.384
2017_10_28_16_56_3_443,节拍时间：END:8.224
2017_10_28_16_56_11_687,节拍时间：END:8.181
2017_10_28_16_56_18_164,节拍时间：END:6.423
2017_10_28_16_56_26_487,节拍时间：END:8.255
2017_10_28_16_56_32_577,节拍时间：END:6.041
2017_10_28_16_56_38_717,节拍时间：END:6.091
2017_10_28_16_56_44_715,节拍时间：END:5.951
2017_10_28_16_56_51_212,节拍时间：END:6.445
2017_10_28_16_56_57_297,节拍时间：END:6.038
2017_10_28_16_57_3_426,节拍时间：END:6.079
2017_10_28_16_57_9_738,节拍时间：END:6.263
2017_10_28_16_57_17_952,节拍时间：END:8.147
2017_10_28_16_57_24_287,节拍时间：END:6.284
2017_10_28_16_57_30_651,节拍时间：END:6.311
2017_10_28_16_57_36_779,节拍时间：END:6.082
2017_10_28_16_57_47_339,节拍时间：END:6.305
2017_10_28_16_57_53_475,节拍时间：END:6.086
2017_10_28_16_58_1_615,节拍时间：END:8.076
2017_10_28_16_58_7_968,节拍时间：END:6.301
2017_10_28_16_58_14_50,节拍时间：END:6.033
2017_10_28_16_58_20_416,节拍时间：END:6.316
2017_10_28_16_58_27_515,节拍时间：END:6.256
2017_10_28_16_58_36_252,节拍时间：END:8.040
2017_10_28_16_58_41_736,节拍时间：END:5.986
2017_10_28_16_58_47_931,节拍时间：END:5.959
2017_10_28_16_58_54_152,节拍时间：END:6.143
2017_10_28_16_58_59_668,节拍时间：END:5.515
2017_10_28_16_59_5_337,节拍时间：END:6.170
2017_10_28_16_59_11_225,节拍时间：END:6.325
2017_10_28_16_59_17_108,节拍时间：END:5.814
2017_10_28_16_59_23_222,节拍时间：END:6.090
2017_10_28_16_59_29_657,节拍时间：END:6.379
2017_10_28_16_59_36_17,节拍时间：END:6.314
2017_10_28_16_59_42_87,节拍时间：END:6.021
2017_10_28_16_59_48_127,节拍时间：END:5.991
2017_10_28_16_59_54_315,节拍时间：END:6.140
2017_10_28_17_0_0_366,节拍时间：END:6.000
2017_10_28_17_0_6_756,节拍时间：END:5.472
2017_10_28_17_0_14_92,节拍时间：END:7.683
2017_10_28_17_0_20_419,节拍时间：END:6.236
2017_10_28_17_0_26_730,节拍时间：END:6.176
2017_10_28_17_0_37_280,节拍时间：END:6.094
2017_10_28_17_0_43_566,节拍时间：END:6.285
2017_10_28_17_0_49_379,节拍时间：END:6.506
2017_10_28_17_1_1_728,节拍时间：END:11.540
2017_10_28_17_1_7_643,节拍时间：END:6.040
2017_10_28_17_1_14_320,节拍时间：END:6.137
2017_10_28_17_1_21_76,节拍时间：END:6.193
2017_10_28_17_1_26_966,节拍时间：END:6.143
2017_10_28_17_1_33_233,节拍时间：END:5.964
2017_10_28_17_1_39_559,节拍时间：END:6.180
2017_10_28_17_1_43_666,节拍时间：END:5.395
2017_10_28_17_1_48_819,节拍时间：END:5.390
2017_10_28_17_1_54_906,节拍时间：END:6.040
2017_10_28_17_2_1_73,节拍时间：END:6.116
2017_10_28_17_2_7_298,节拍时间：END:6.174
2017_10_28_17_2_13_348,节拍时间：END:5.996
2017_10_28_17_2_19_386,节拍时间：END:5.994
2017_10_28_17_2_25_533,节拍时间：END:6.099
2017_10_28_17_2_31_967,节拍时间：END:6.382
2017_10_28_17_2_38_262,节拍时间：END:6.246
2017_10_28_17_2_44_439,节拍时间：END:6.125
2017_10_28_17_2_50_85,节拍时间：END:5.603
2017_10_28_17_2_57_803,节拍时间：END:7.656
2017_10_28_17_3_3_944,节拍时间：END:6.091
2017_10_28_17_3_20_242,节拍时间：END:8.210
2017_10_28_17_3_28_77,节拍时间：END:7.773
2017_10_28_17_3_36_639,节拍时间：END:8.493
2017_10_28_17_3_44_292,节拍时间：END:7.592
2017_10_28_17_3_52_165,节拍时间：END:7.800
2017_10_28_17_3_59_920,节拍时间：END:7.703
2017_10_28_17_4_6_188,节拍时间：END:6.216
2017_10_28_17_4_12_326,节拍时间：END:6.088
2017_10_28_17_4_18_281,节拍时间：END:5.910
2017_10_28_17_4_25_653,节拍时间：END:7.309
2017_10_28_17_4_33_227,节拍时间：END:7.517
2017_10_28_17_4_39_290,节拍时间：END:6.012
2017_10_28_17_4_45_808,节拍时间：END:6.468
2017_10_28_17_4_51_906,节拍时间：END:6.050
2017_10_28_17_4_58_222,节拍时间：END:6.158
2017_10_28_17_5_4_482,节拍时间：END:6.318
2017_10_28_17_5_10_626,节拍时间：END:6.094
2017_10_28_17_5_16_771,节拍时间：END:6.096
2017_10_28_17_5_22_937,节拍时间：END:6.118
2017_10_28_17_5_29_199,节拍时间：END:6.210
2017_10_28_17_5_35_672,节拍时间：END:6.420
2017_10_28_17_5_41_864,节拍时间：END:6.142
2017_10_28_17_5_48_60,节拍时间：END:6.142
2017_10_28_17_5_54_262,节拍时间：END:6.154
2017_10_28_17_6_0_502,节拍时间：END:6.188
2017_10_28_17_6_13_572,节拍时间：END:5.994
2017_10_28_17_6_19_621,节拍时间：END:5.999
2017_10_28_17_6_25_888,节拍时间：END:6.213
2017_10_28_17_6_31_387,节拍时间：END:5.460
2017_10_28_17_6_37_797,节拍时间：END:6.356
2017_10_28_17_7_9_107,节拍时间：END:31.062
2017_10_28_17_7_15_444,节拍时间：END:6.285
2017_10_28_17_8_50_973,节拍时间：END:7.742
2017_10_28_17_9_17_129,节拍时间：END:25.948
2017_10_28_17_9_44_47,节拍时间：END:26.703
2017_10_28_17_9_58_902,节拍时间：END:14.736
2017_10_28_17_10_6_986,节拍时间：END:8.020
2017_10_28_17_10_30_95,节拍时间：END:22.922
2017_10_28_17_10_41_337,节拍时间：END:11.147
2017_10_28_17_10_49_224,节拍时间：END:7.830
2017_10_28_17_10_55_414,节拍时间：END:6.139
2017_10_28_17_11_1_573,节拍时间：END:6.108
2017_10_28_17_11_7_585,节拍时间：END:5.966
2017_10_28_17_11_13_210,节拍时间：END:5.578
2017_10_28_17_11_18_930,节拍时间：END:5.675
2017_10_28_17_11_25_53,节拍时间：END:6.072
2017_10_28_17_11_31_97,节拍时间：END:5.994
2017_10_28_17_11_37_525,节拍时间：END:6.379
2017_10_28_17_11_43_599,节拍时间：END:6.028
2017_10_28_17_11_49_816,节拍时间：END:6.164
2017_10_28_17_11_56_59,节拍时间：END:6.190
2017_10_28_17_12_4_209,节拍时间：END:8.086
2017_10_28_17_12_10_236,节拍时间：END:5.982
2017_10_28_17_12_16_336,节拍时间：END:6.048
2017_10_28_17_12_22_351,节拍时间：END:5.968
2017_10_28_17_12_28_526,节拍时间：END:6.125
2017_10_28_17_12_34_576,节拍时间：END:5.994
2017_10_28_17_12_42_701,节拍时间：END:8.063
2017_10_28_17_12_48_652,节拍时间：END:5.907
2017_10_28_17_12_55_907,节拍时间：END:7.195
2017_10_28_17_13_2_312,节拍时间：END:6.354
2017_10_28_17_13_8_496,节拍时间：END:6.136
2017_10_28_17_13_14_454,节拍时间：END:5.910
2017_10_28_17_13_20_571,节拍时间：END:6.069
2017_10_28_17_13_26_656,节拍时间：END:6.031
2017_10_28_17_13_32_790,节拍时间：END:6.090
2017_10_28_17_13_38_911,节拍时间：END:6.071
2017_10_28_17_13_45_30,节拍时间：END:6.068
2017_10_28_17_13_51_316,节拍时间：END:6.234
2017_10_28_17_13_59_541,节拍时间：END:8.155
2017_10_28_17_14_5_592,节拍时间：END:6.008
2017_10_28_17_14_12_60,节拍时间：END:6.417
2017_10_28_17_14_18_214,节拍时间：END:6.106
2017_10_28_17_14_24_522,节拍时间：END:6.256
2017_10_28_17_14_30_767,节拍时间：END:6.194
2017_10_28_17_14_36_793,节拍时间：END:5.977
2017_10_28_17_14_42_232,节拍时间：END:5.394
2017_10_28_17_14_48_533,节拍时间：END:6.252
2017_10_28_17_14_54_771,节拍时间：END:6.183
2017_10_28_17_15_0_847,节拍时间：END:6.032
2017_10_28_17_15_6_970,节拍时间：END:6.073
2017_10_28_17_15_13_271,节拍时间：END:6.248
2017_10_28_17_15_18_860,节拍时间：END:5.544
2017_10_28_17_15_27_207,节拍时间：END:7.956
2017_10_28_17_15_32_861,节拍时间：END:5.933
2017_10_28_17_15_47_25,节拍时间：END:5.716
2017_10_28_17_15_53_92,节拍时间：END:6.017
2017_10_28_17_16_1_191,节拍时间：END:8.031
2017_10_28_17_16_7_538,节拍时间：END:6.296
2017_10_28_17_16_13_575,节拍时间：END:5.988
2017_10_28_17_16_19_738,节拍时间：END:6.111
2017_10_28_17_16_25_955,节拍时间：END:6.170
2017_10_28_17_16_32_118,节拍时间：END:6.114
2017_10_28_17_16_38_131,节拍时间：END:5.965
2017_10_28_17_16_44_270,节拍时间：END:6.089
2017_10_28_17_16_50_226,节拍时间：END:5.908
2017_10_28_17_17_0_534,节拍时间：END:6.021
2017_10_28_17_17_6_134,节拍时间：END:5.554
2017_10_28_17_17_12_504,节拍时间：END:6.317
2017_10_28_17_17_18_741,节拍时间：END:6.188
2017_10_28_17_17_25_12,节拍时间：END:6.220
2017_10_28_17_17_31_142,节拍时间：END:6.081
2017_10_28_17_17_37_237,节拍时间：END:6.046
2017_10_28_17_17_43_711,节拍时间：END:6.423
2017_10_28_17_17_49_897,节拍时间：END:6.135
2017_10_28_17_17_56_220,节拍时间：END:6.271
2017_10_28_17_18_2_294,节拍时间：END:6.026
2017_10_28_17_18_10_776,节拍时间：END:8.409
2017_10_28_17_18_17_101,节拍时间：END:6.277
2017_10_28_17_18_23_368,节拍时间：END:6.217
2017_10_28_17_18_34_851,节拍时间：END:11.388
2017_10_28_17_18_42_499,节拍时间：END:7.590
2017_10_28_17_18_55_618,节拍时间：END:6.795
2017_10_28_17_19_7_981,节拍时间：END:6.222
2017_10_28_17_19_14_256,节拍时间：END:6.225
2017_10_28_17_19_22_267,节拍时间：END:7.948
2017_10_28_17_19_29_740,节拍时间：END:7.410
2017_10_28_17_19_35_936,节拍时间：END:6.145
2017_10_28_17_19_42_8,节拍时间：END:6.028
2017_10_28_17_19_48_95,节拍时间：END:6.035
2017_10_28_17_19_54_233,节拍时间：END:6.091
2017_10_28_17_20_1_735,节拍时间：END:7.439
2017_10_28_17_20_10_4,节拍时间：END:8.206
2017_10_28_17_20_18_292,节拍时间：END:8.222
2017_10_28_17_20_24_404,节拍时间：END:6.064
2017_10_28_17_20_30_593,节拍时间：END:6.138
2017_10_28_17_20_36_586,节拍时间：END:5.945
2017_10_28_17_20_44_769,节拍时间：END:8.118
2017_10_28_17_20_50_974,节拍时间：END:6.153
2017_10_28_17_20_57_353,节拍时间：END:6.330
2017_10_28_17_21_3_383,节拍时间：END:5.982
2017_10_28_17_26_33_128,节拍时间：END:6.197
2017_10_28_17_26_39_125,节拍时间：END:5.947
2017_10_28_17_26_45_121,节拍时间：END:5.947
2017_10_28_17_26_51_300,节拍时间：END:6.132
2017_10_28_17_26_58_624,节拍时间：END:7.266
2017_10_28_17_27_8_767,节拍时间：END:10.060
2017_10_28_17_27_16_687,节拍时间：END:7.858
2017_10_28_17_27_24_647,节拍时间：END:7.896
2017_10_28_17_27_30_662,节拍时间：END:5.967
2017_10_28_17_27_37_693,节拍时间：END:6.975
2017_10_28_17_27_45_711,节拍时间：END:7.949
2017_10_28_17_27_51_440,节拍时间：END:5.684
2017_10_28_17_27_57_220,节拍时间：END:5.735
2017_10_28_17_28_3_219,节拍时间：END:5.951
2017_10_28_17_28_9_12,节拍时间：END:5.748
2017_10_28_17_28_15_248,节拍时间：END:6.185
2017_10_28_17_28_21_498,节拍时间：END:6.197
2017_10_28_17_28_27_628,节拍时间：END:6.083
2017_10_28_17_28_33_860,节拍时间：END:6.181
2017_10_28_17_28_40_74,节拍时间：END:6.163
2017_10_28_17_28_46_343,节拍时间：END:6.220
2017_10_28_17_28_52_383,节拍时间：END:5.992
2017_10_28_17_28_58_353,节拍时间：END:5.922
2017_10_28_17_29_4_573,节拍时间：END:6.171
2017_10_28_17_29_10_455,节拍时间：END:5.835
2017_10_28_17_29_16_539,节拍时间：END:6.035
2017_10_28_17_29_22_344,节拍时间：END:5.760
2017_10_28_17_29_28_490,节拍时间：END:6.094
2017_10_28_17_29_34_606,节拍时间：END:6.069
2017_10_28_17_29_40_760,节拍时间：END:6.104
2017_10_28_17_29_53_91,节拍时间：END:12.233
2017_10_28_17_29_59_157,节拍时间：END:6.017
2017_10_28_17_30_5_371,节拍时间：END:6.165
2017_10_28_17_30_11_627,节拍时间：END:6.207
2017_10_28_17_30_17_740,节拍时间：END:6.060
2017_10_28_17_30_23_840,节拍时间：END:6.054
2017_10_28_17_30_30_357,节拍时间：END:6.467
2017_10_28_17_30_36_575,节拍时间：END:6.168
2017_10_28_17_30_42_704,节拍时间：END:6.079
2017_10_28_17_30_49_161,节拍时间：END:6.403
2017_10_28_17_30_55_379,节拍时间：END:6.170
2017_10_28_17_31_1_307,节拍时间：END:5.879
2017_10_28_17_31_7_514,节拍时间：END:6.157
2017_10_28_17_31_13_643,节拍时间：END:6.080
2017_10_28_17_31_19_819,节拍时间：END:6.127
2017_10_28_17_31_26_1,节拍时间：END:6.133
2017_10_28_17_31_33_385,节拍时间：END:7.324
2017_10_28_17_31_40_33,节拍时间：END:6.595
2017_10_28_17_31_46_633,节拍时间：END:6.548
2017_10_28_17_31_53_11,节拍时间：END:6.326
2017_10_28_17_32_0_419,节拍时间：END:7.348
2017_10_28_17_32_6_631,节拍时间：END:6.162
2017_10_28_17_32_13_178,节拍时间：END:6.495
2017_10_28_17_32_19_579,节拍时间：END:6.213
2017_10_28_17_32_25_728,节拍时间：END:6.230
2017_10_28_17_32_33_761,节拍时间：END:7.973
2017_10_28_17_32_39_848,节拍时间：END:6.039
2017_10_28_17_32_46_54,节拍时间：END:6.156
2017_10_28_17_32_52_264,节拍时间：END:6.161
2017_10_28_17_32_58_505,节拍时间：END:6.191
2017_10_28_17_33_4_627,节拍时间：END:6.073
2017_10_28_17_33_11_72,节拍时间：END:6.393
2017_10_28_17_33_17_208,节拍时间：END:6.081
2017_10_28_17_33_23_366,节拍时间：END:6.109
2017_10_28_17_33_29_504,节拍时间：END:6.085
2017_10_28_17_33_35_450,节拍时间：END:5.897
2017_10_28_17_33_41_889,节拍时间：END:6.388
2017_10_28_17_33_48_135,节拍时间：END:6.193
2017_10_28_17_33_54_89,节拍时间：END:5.906
2017_10_28_17_34_0_308,节拍时间：END:6.168
2017_10_28_17_34_6_572,节拍时间：END:6.218
2017_10_28_17_34_12_764,节拍时间：END:6.139
2017_10_28_17_35_29_515,节拍时间：END:76.142
2017_10_28_17_35_35_963,节拍时间：END:6.398
2017_10_28_17_35_42_266,节拍时间：END:6.251
2017_10_28_17_35_48_560,节拍时间：END:6.244
2017_10_28_17_35_54_693,节拍时间：END:6.084
2017_10_28_17_36_1_158,节拍时间：END:6.413
2017_10_28_17_36_7_636,节拍时间：END:6.428
2017_10_28_17_36_17_106,节拍时间：END:9.393
2017_10_28_17_36_23_281,节拍时间：END:6.125
2017_10_28_17_36_29_605,节拍时间：END:6.273
2017_10_28_17_36_38_766,节拍时间：END:9.087
2017_10_28_17_36_49_775,节拍时间：END:10.923
2017_10_28_17_36_58_121,节拍时间：END:8.280
2017_10_28_17_37_12_335,节拍时间：END:14.101
2017_10_28_17_37_24_747,节拍时间：END:12.313
2017_10_28_17_37_33_589,节拍时间：END:8.771
2017_10_28_17_37_44_48,节拍时间：END:10.374
2017_10_28_17_44_43_98,节拍时间：END:415.717
2017_10_28_17_46_9_313,节拍时间：END:6.473
2017_10_28_17_46_17_55,节拍时间：END:7.680
2017_10_28_17_46_23_616,节拍时间：END:6.507
2017_10_28_17_46_30_38,节拍时间：END:6.372
2017_10_28_17_46_36_519,节拍时间：END:6.428
2017_10_28_17_46_59_457,节拍时间：END:22.752
2017_10_28_17_47_5_945,节拍时间：END:6.440
2017_10_28_17_47_12_619,节拍时间：END:6.619
2017_10_28_17_47_19_36,节拍时间：END:6.366
2017_11_16_13_56_46_110,节拍时间：END:68.747
2017_11_16_13_56_55_987,节拍时间：END:9.800
2017_11_16_14_4_53_457,节拍时间：END:9.270
2017_11_16_14_5_3_152,节拍时间：END:9.617
2017_11_16_14_5_12_277,节拍时间：END:9.053
